model,mode,samples,realtive time(sec),temperature (Celcius),cpu load(pct),cpu freq(Hz),ram usage(pct),swap usage(pct),voltage,current,power
cnn2,train,6000,57.94,69.6,98.5,1500.4,13.6,0.0,5.06,-1.14,5.77
cnn2,train,6000,58.66,71.1,93.7,1500.35,13.0,0.0,5.07,-1.12,5.72
cnn2,train,6000,59.31,70.1,99.5,1500.35,13.7,0.0,5.08,-1.03,5.25
cnn2,train,6000,60.04,70.1,93.0,1500.35,13.1,0.0,5.03,-1.17,5.88
cnn2,train,6000,60.64,69.6,99.5,1500.4,13.6,0.0,5.04,-1.15,5.81
cnn2,train,6000,61.37,70.6,93.8,1500.35,13.1,0.0,5.05,-1.26,6.34
cnn2,train,6000,61.98,70.6,99.5,1500.35,13.5,0.0,5.05,-1.11,5.86
cnn2,train,6000,62.7,70.1,94.6,1500.35,13.1,0.0,5.04,-1.25,6.32
cnn2,train,6000,63.32,70.6,100.0,1500.35,13.5,0.0,5.05,-1.13,5.73
cnn2,train,6000,64.05,70.6,95.1,1500.4,13.1,0.0,5.08,-1.23,6.23
cnn2,train,6000,64.74,71.5,98.5,1500.4,13.4,0.0,5.06,-1.12,5.44
cnn2,train,6000,65.36,70.1,92.3,1500.35,13.1,0.0,5.04,-1.22,6.13
cnn2,train,6000,66.02,70.6,99.5,1500.35,13.5,0.0,5.08,-1.05,5.31
cnn2,train,6000,66.69,70.6,92.4,1500.35,13.1,0.0,5.04,-1.23,6.18
cnn2,train,6000,67.32,71.5,99.5,1500.35,13.5,0.0,5.07,-1.13,5.72
cnn2,train,6000,68.06,70.6,92.1,1500.4,13.1,0.0,5.08,-1.02,5.18
cnn2,train,6000,68.68,70.6,99.5,1500.35,13.1,0.0,5.06,-1.12,5.64
cnn2,train,6000,69.3,70.1,92.8,1500.35,13.1,0.0,5.04,-1.24,6.23
cnn2,train,6000,69.92,70.6,100.0,1500.35,13.7,0.0,5.04,-1.2,6.08
cnn2,train,6000,70.56,70.1,94.1,1500.35,13.0,0.0,5.03,-1.32,6.57
cnn2,train,6000,71.18,71.1,97.5,1500.35,13.3,0.0,5.05,-1.13,5.73
cnn2,train,6000,71.89,70.6,95.5,1500.35,13.0,0.0,5.02,-1.32,6.63
cnn2,train,6000,72.56,72.0,99.5,1500.35,13.6,0.0,5.07,-1.05,5.32
cnn2,train,6000,73.28,70.6,93.7,1500.35,13.1,0.0,5.03,-1.23,6.17
cnn2,train,6000,73.93,70.6,99.0,1500.35,13.5,0.0,5.04,-1.19,6.03
cnn2,train,6000,74.55,70.6,94.2,1500.4,13.0,0.0,5.03,-1.31,6.57
cnn2,train,6000,75.19,71.5,98.5,1500.4,13.6,0.0,5.05,-1.12,5.66
cnn2,train,6000,75.9,72.5,93.5,1500.35,13.0,0.0,5.03,-1.24,6.25
cnn2,train,6000,76.54,71.1,99.0,1500.35,13.5,0.0,5.08,-1.07,5.41
cnn2,train,6000,77.24,71.1,94.9,1500.35,13.0,0.0,5.04,-1.13,5.68
cnn2,train,6000,77.89,71.5,99.0,1500.4,13.6,0.0,5.06,-1.22,6.18
cnn2,train,6000,78.58,71.5,94.9,1500.4,13.1,0.0,5.03,-1.18,5.94
cnn2,train,6000,79.18,71.5,96.5,1500.4,13.6,0.0,5.05,-1.18,5.81
cnn2,train,6000,79.85,71.5,92.5,1500.35,13.0,0.0,5.04,-1.22,6.16
cnn2,train,6000,80.47,72.0,98.5,1500.35,13.4,0.0,5.07,-1.04,5.29
cnn2,train,6000,81.16,71.5,93.9,1500.4,12.9,0.0,5.04,-1.21,6.12
cnn2,train,6000,81.82,72.0,98.5,1500.4,13.4,0.0,5.06,-1.06,5.4
cnn2,train,6000,82.51,72.5,93.5,1500.4,13.0,0.0,5.04,-1.23,6.2
cnn2,train,6000,83.13,72.0,98.5,1500.35,13.4,0.0,5.07,-1.07,5.43
cnn2,train,6000,83.82,72.5,94.0,1500.4,13.0,0.0,5.03,-1.25,6.21
cnn2,train,6000,84.5,72.0,98.5,1500.35,13.5,0.0,5.05,-1.1,5.56
cnn2,train,6000,85.16,71.5,93.4,1500.4,13.0,0.0,5.07,-1.24,6.28
