model,mode,samples,realtive time(sec),temperature (Celcius),cpu load(pct),cpu freq(Hz),ram usage(pct),swap usage(pct),voltage,current,power
cnn,train,6000,93.7,74.0,94.0,1500.35,13.3,0.0,5.03,-1.24,6.22
cnn,train,6000,94.51,74.0,98.0,1500.4,13.2,0.0,5.06,-1.03,5.24
cnn,train,6000,95.33,75.0,97.5,1500.35,13.6,0.0,5.03,-1.28,6.44
cnn,train,6000,96.08,75.0,94.6,1500.4,12.9,0.0,5.01,-1.25,6.28
cnn,train,6000,96.89,75.4,99.5,1500.35,13.5,0.0,5.03,-1.19,5.93
cnn,train,6000,97.7,75.0,91.9,1500.35,13.2,0.0,5.03,-1.18,5.95
cnn,train,6000,98.47,75.0,98.5,1500.35,13.6,0.0,5.03,-1.15,5.77
cnn,train,6000,99.31,74.0,97.0,1500.4,13.2,0.0,5.02,-1.19,6.0
cnn,train,6000,100.15,75.0,93.9,1500.35,12.8,0.0,5.01,-1.29,6.49
cnn,train,6000,100.83,75.4,98.5,1500.35,13.6,0.0,5.02,-1.14,5.73
cnn,train,6000,101.63,75.9,94.5,1500.4,13.0,0.0,5.04,-1.2,6.05
cnn,train,6000,102.44,75.9,99.5,1500.4,13.3,0.0,5.05,-1.1,5.71
cnn,train,6000,103.26,75.4,93.5,1500.35,13.2,0.0,5.04,-1.14,5.76
cnn,train,6000,104.0,76.4,99.0,1500.4,13.6,0.0,5.04,-1.13,5.73
cnn,train,6000,104.78,75.0,97.6,1500.35,13.3,0.0,5.04,-1.15,5.8
cnn,train,6000,105.61,75.0,93.1,1500.35,12.9,0.0,5.05,-1.13,5.7
cnn,train,6000,106.37,75.4,98.0,1500.35,13.6,0.0,5.03,-1.21,6.08
cnn,train,6000,107.26,75.0,92.9,1500.35,13.2,0.0,5.04,-1.2,6.04
cnn,train,6000,108.05,75.4,99.5,1500.35,13.6,0.0,5.03,-1.19,6.11
cnn,train,6000,108.87,75.4,97.5,1500.35,13.2,0.0,5.05,-1.14,5.73
cnn,train,6000,109.8,75.4,94.1,1500.4,13.1,0.0,5.02,-1.25,6.3
cnn,train,6000,110.64,75.9,99.5,1500.35,13.4,0.0,5.04,-1.18,5.96
